Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Slovakia,2022-08-04 20:20:52,48.669,19.699,2584276,20236,,,47551.29618644006,,,0.7830432972329581,703,SVK,30164,84
Slovenia,2022-08-04 20:20:52,46.1512,14.9955,1089921,6707,,,52426.96730821403,,,0.6153657008168482,705,SVN,43440,48
Solomon Islands,2022-08-04 20:20:52,-9.6457,160.1562,21544,153,,,3299.9519037830587,,,0.7101745265503157,90,SLB,0,0
Somalia,2022-08-04 20:20:52,5.152149,46.199616,27020,1361,,,170.00961227552455,,,5.03700962250185,706,SOM,217,0
South Africa,2022-08-04 20:20:52,-30.5595,22.9375,4004555,101982,,,6752.054378540481,,,2.5466500023098697,710,ZAF,8771,135
South Sudan,2022-08-04 20:20:52,6.877,31.307,17780,138,,,158.83893562190045,,,0.7761529808773904,728,SSD,47,0
Spain,2022-08-04 20:20:52,40.463667,-3.74922,13245996,110713,,,28330.7827564936,,,0.835822387384082,724,ESP,355994,2454
Sri Lanka,2022-08-04 20:20:52,7.873054,80.771797,666232,16574,,,3111.307251351383,,,2.487721994740571,144,LKA,1889,50
Sudan,2022-08-04 20:20:52,12.8628,30.2176,63074,4958,,,143.84276280637656,,,7.860608174525161,729,SDN,370,6
Summer Olympics 2020,2022-08-04 20:20:52,35.6491,139.7737,865,0,,,,,,0.0,2020,,0,0
Suriname,2022-08-04 20:20:52,3.9193,-56.0278,80982,1380,,,13804.518660698152,,,1.7040823886789658,740,SUR,92,4
Sweden,2022-08-04 20:20:52,60.1282,18.6435,2545671,19433,,,25206.48522120906,,,0.7633743716293268,752,SWE,20516,234
Switzerland,2022-08-04 20:20:52,46.8182,8.2275,3972622,13918,,,45901.76019322864,,,0.3503479565888725,756,CHE,166848,76
Syria,2022-08-04 20:20:52,34.802075,38.996815,56419,3150,,,322.38218256606024,,,5.583225509136993,760,SYR,479,0
Taiwan*,2022-08-04 20:20:52,23.7,121.0,4675128,9082,,,19629.559417679346,,,0.1942620608462484,158,TWN,687998,1803
Tajikistan,2022-08-04 20:20:52,38.861,71.2761,17786,125,,,186.4821514584003,,,0.7027999550208028,762,TJK,0,0
Tanzania,2022-08-04 20:20:52,-6.369028,34.888822,37865,841,,,63.38913346025,,,2.221048461640037,834,TZA,2097,0
Thailand,2022-08-04 20:20:52,15.870032,100.992541,4598725,31492,,,6588.433308675255,,,0.6847985039331553,764,THA,62280,734
Timor-Leste,2022-08-04 20:20:52,-8.874217,125.727539,23027,133,,,1746.5311329584465,,,0.5775828375385417,626,TLS,60,0
Togo,2022-08-04 20:20:52,8.6195,0.8248,38145,280,,,460.758688191206,,,0.7340411587364005,768,TGO,611,5
Tonga,2022-08-04 20:20:52,-21.179,-175.1982,12554,12,,,11877.34751222835,,,0.095587063884021,776,TON,253,0
Trinidad and Tobago,2022-08-04 20:20:52,10.6918,-61.2225,171906,4057,,,12283.465917251344,,,2.360010703524019,780,TTO,4126,37
Tunisia,2022-08-04 20:20:52,33.886917,9.537499,1134660,29105,,,9600.61489422875,,,2.5650855762959828,788,TUN,68533,357
Turkey,2022-08-04 20:20:52,38.9637,35.2433,15889495,99341,,,18840.01752118031,,,0.6251992275399564,792,TUR,709051,284
US,2022-08-04 20:20:52,40.0,-100.0,91902854,1032622,,,27894.46408997184,,,1.123601667473787,840,USA,3512731,12847
Uganda,2022-08-04 20:20:52,1.373333,32.290275,169340,3628,,,370.2149056645023,,,2.1424353371914493,800,UGA,1331,7
Ukraine,2022-08-04 20:20:52,48.3794,31.1656,5295299,116468,,,12108.035350905922,,,2.19946031376132,804,UKR,6781,80
United Arab Emirates,2022-08-04 20:20:52,23.424076,53.847818,995777,2335,,,10068.11655746987,,,0.2344902523356133,784,ARE,38311,13
United Kingdom,2022-08-04 20:20:52,55.0,-3.0,23581605,185758,,,34737.06450596208,,,0.7877241604208026,826,GBR,495005,4361
Uruguay,2022-08-04 20:20:52,-32.5228,-55.7658,971728,7415,,,27973.64329436366,,,0.7630736173085473,858,URY,9477,64
Uzbekistan,2022-08-04 20:20:52,41.377491,64.585262,243232,1637,,,726.7338546106228,,,0.6730199973687673,860,UZB,1912,0
Vanuatu,2022-08-04 20:20:52,-15.3767,166.9592,11730,14,,,4007.790077900779,,,0.1193520886615515,548,VUT,260,0
Venezuela,2022-08-04 20:20:52,6.4238,-66.5897,537177,5764,,,1889.0774960408385,,,1.0730169013193045,862,VEN,9345,26
Vietnam,2022-08-04 20:20:52,14.058324,108.277199,10785122,43094,,,11080.007195091386,,,0.3995689617604696,704,VNM,33895,5
West Bank and Gaza,2022-08-04 20:20:52,31.9522,35.2332,691065,5688,,,13546.532962612731,,,0.823077423976037,275,PSE,28575,26
Winter Olympics 2022,2022-08-04 20:20:52,39.9042,116.4074,535,0,,,,,,0.0,2022,,0,0
Yemen,2022-08-04 20:20:52,15.552727,48.516388,11877,2151,,,39.82100430068188,,,18.110633998484467,887,YEM,45,2
Zambia,2022-08-04 20:20:52,-13.133897,27.849332,330575,4015,,,1798.171187964114,,,1.2145504045980489,894,ZMB,4167,7
Zimbabwe,2022-08-04 20:20:52,-19.015438,29.154857,256423,5579,,,1725.2523678545956,,,2.1757018676171795,716,ZWE,618,19
