Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Parana,Brazil,2022-08-28 08:33:03,-25.2521,-52.0215,2730755,45085,,,,23882.851754646268,,,1.651008603847654,7616,BRA,,,38235,580
Pernambuco,Brazil,2022-08-28 08:33:03,-8.8137,-36.9541,1046168,22182,,,,10946.53372356447,,,2.120309548753164,7617,BRA,,,17180,140
Piaui,Brazil,2022-08-28 08:33:03,-7.7183,-42.7289,396503,7929,,,,12113.519777271787,,,1.9997326628045689,7618,BRA,,,9849,50
Rio Grande do Norte,Brazil,2022-08-28 08:33:03,-5.4026,-36.9541,551216,8439,,,,15718.25223355527,,,1.5309787814577225,7620,BRA,,,4543,44
Rio Grande do Sul,Brazil,2022-08-28 08:33:03,-30.0346,-51.2177,2704838,40818,,,,23774.11602234953,,,1.5090737412000277,7621,BRA,,,60396,361
Rio de Janeiro,Brazil,2022-08-28 08:33:03,-22.9068,-43.1729,2482240,75355,,,,14377.34257217067,,,3.035766082248292,7619,BRA,,,37146,589
Rondonia,Brazil,2022-08-28 08:33:03,-11.5057,-63.5806,454283,7346,,,,25561.366737469933,,,1.6170536867987575,7622,BRA,,,10474,45
Roraima,Brazil,2022-08-28 08:33:03,-2.7376,-62.0751,174551,2167,,,,28815.15977423439,,,1.2414709740992604,7623,BRA,,,1936,9
Santa Catarina,Brazil,2022-08-28 08:33:03,-27.2423,-50.2189,1860591,22343,,,,25968.542265311968,,,1.2008549971487554,7624,BRA,,,21638,123
Sao Paulo,Brazil,2022-08-28 08:33:03,-23.5505,-46.6333,6016839,174047,,,,13103.143751953574,,,2.8926650688176965,7625,BRA,,,99571,1112
Sergipe,Brazil,2022-08-28 08:33:03,-10.5741,-37.3857,342616,6429,,,,14904.798198630877,,,1.8764447661521937,7626,BRA,,,1636,17
Tocantins,Brazil,2022-08-28 08:33:03,-10.1753,-48.2982,343337,4196,,,,21828.750828106145,,,1.2221228705324507,7627,BRA,,,4422,12
Alberta,Canada,2022-08-28 08:33:03,53.9333,-116.5765,601337,4748,,,,13534.8498124752,,,0.789573899493961,12401,CAN,,,6863,83
British Columbia,Canada,2022-08-28 08:33:03,53.7267,-127.6476,381788,4097,,,,7321.232529308382,,,1.073108636206481,12402,CAN,,,3497,189
Diamond Princess,Canada,2022-08-28 08:33:03,,,0,1,,,,,,,,12413,CAN,,,0,0
Grand Princess,Canada,2022-08-28 08:33:03,,,13,0,,,,,,,0.0,12414,CAN,,,0,0
Manitoba,Canada,2022-08-28 08:33:03,53.7609,-98.8139,147806,2105,,,,10681.437960925448,,,1.4241641070051283,12403,CAN,,,1540,44
New Brunswick,Canada,2022-08-28 08:33:03,46.5653,-66.4619,74440,462,,,,9432.037758560611,,,0.6206340677055346,12404,CAN,,,2961,19
Newfoundland and Labrador,Canada,2022-08-28 08:33:03,53.1355,-57.6604,50810,223,,,,9760.77363880335,,,0.4388899822869513,12405,CAN,,,1398,20
Northwest Territories,Canada,2022-08-28 08:33:03,64.8255,-124.8457,11511,22,,,,25296.677215189877,,,0.1911215359221614,12406,CAN,,,0,0
Nova Scotia,Canada,2022-08-28 08:33:03,44.682,-63.7443,120055,490,,,,12101.647590103372,,,0.408146266294615,12407,CAN,,,6386,23
Nunavut,Canada,2022-08-28 08:33:03,70.2998,-83.1076,3531,7,,,,8961.246605588407,,,0.1982441234777683,12416,CAN,,,0,0
Ontario,Canada,2022-08-28 08:33:03,51.2538,-85.3232,1425482,14008,,,,9614.565383782145,,,0.9826851549160214,12408,CAN,,,40460,306
Prince Edward Island,Canada,2022-08-28 08:33:03,46.5107,-63.4168,49411,53,,,,30070.351391813438,,,0.1072635647932646,12409,CAN,,,3171,4
Quebec,Canada,2022-08-28 08:33:03,52.9399,-73.5491,1175060,16333,,,,13656.350547010605,,,1.3899715759195277,12410,CAN,,,28166,376
Repatriated Travellers,Canada,2022-08-28 08:33:03,,,13,0,,,,,,,0.0,,,,,0,0
Saskatchewan,Canada,2022-08-28 08:33:03,52.9399,-106.4509,141815,1479,,,,12019.809398530651,,,1.0429080139618516,12411,CAN,,,1524,41
Yukon,Canada,2022-08-28 08:33:03,64.2823,-135.0,4815,30,,,,11201.321360442937,,,0.6230529595015576,12412,CAN,,,143,4
Antofagasta,Chile,2022-08-28 08:33:03,-23.6509,-70.3975,161825,1854,,,,26636.369322539973,,,1.1456820639579792,15201,CHL,,,12131,37
Araucania,Chile,2022-08-28 08:33:03,-38.9489,-72.3311,257223,2682,,,,26871.76669201775,,,1.0426750329480643,15202,CHL,,,17897,54
Arica y Parinacota,Chile,2022-08-28 08:33:03,-18.594,-69.4785,71050,848,,,,31428.59670541607,,,1.1935256861365235,15203,CHL,,,5749,23
Atacama,Chile,2022-08-28 08:33:03,-27.5661,-70.0503,97925,663,,,,33890.650091367184,,,0.6770487618075057,15204,CHL,,,8356,25
Aysen,Chile,2022-08-28 08:33:03,-45.9864,-73.7669,30704,194,,,,29764.051261172182,,,0.6318394997394476,15205,CHL,,,2207,6
Biobio,Chile,2022-08-28 08:33:03,-37.4464,-72.1416,436076,4458,,,,28010.958340961137,,,1.0222988653354002,15206,CHL,,,28099,56
Coquimbo,Chile,2022-08-28 08:33:03,-29.959,-71.3389,180819,1803,,,,23867.785307542643,,,0.9971297264114944,15207,CHL,,,16038,45
Los Lagos,Chile,2022-08-28 08:33:03,-41.9198,-72.1416,220976,2396,,,,26665.1220936687,,,1.084280645861994,15208,CHL,,,11721,27
Los Rios,Chile,2022-08-28 08:33:03,-40.231,-72.3311,127370,1288,,,,33097.12943402012,,,1.0112271335479313,15209,CHL,,,9528,33
Magallanes,Chile,2022-08-28 08:33:03,-52.368,-70.9863,61030,742,,,,36647.39120774862,,,1.215795510404719,15210,CHL,,,2647,16
Maule,Chile,2022-08-28 08:33:03,-35.5183,-71.6885,297329,3076,,,,28453.89731566104,,,1.0345442254203256,15211,CHL,,,22763,61
Metropolitana,Chile,2022-08-28 08:33:03,-33.4376,-70.6505,1709113,29414,,,,24028.66772166492,,,1.7210096699282025,15212,CHL,,,62608,256
Nuble,Chile,2022-08-28 08:33:03,-36.7226,-71.7622,127964,1180,,,,26625.385708548944,,,0.922134350286018,15213,CHL,,,10063,32
OHiggins,Chile,2022-08-28 08:33:03,-34.5755,-71.0022,191486,2651,,,,20937.61446823865,,,1.3844354156439636,15214,CHL,,,11539,39
Tarapaca,Chile,2022-08-28 08:33:03,-19.9232,-69.5132,100512,1122,,,,30406.76673987621,,,1.116284622731614,15215,CHL,,,9253,20
Unknown,Chile,2022-08-28 08:33:03,,,42,2,,,,,,,4.761904761904762,15217,CHL,,,,0
Valparaiso,Chile,2022-08-28 08:33:03,-33.0472,-71.6127,416009,6009,,,,22909.220872051465,,,1.4444399039443858,15216,CHL,,,23306,100
Anhui,China,2022-08-28 08:33:03,31.8257,117.2264,1506,6,,,,2.467753256987777,,,0.398406374501992,15601,CHN,,,2,0
Beijing,China,2022-08-28 08:33:03,40.1824,116.4142,3969,9,,,,18.12900368814916,,,0.2267573696145124,15602,CHN,,,220,0
Chongqing,China,2022-08-28 08:33:03,30.0572,107.874,954,6,,,,2.9762128527533664,,,0.6289308176100629,15603,CHN,,,170,0
Fujian,China,2022-08-28 08:33:03,26.0789,117.9874,4041,1,,,,9.7279528983161,,,0.0247463499133877,15604,CHN,,,343,0
Gansu,China,2022-08-28 08:33:03,35.7518,104.2861,1343,2,,,,5.367742092262733,,,0.1489203276247207,15605,CHN,,,45,0
Guangdong,China,2022-08-28 08:33:03,23.3417,113.4244,8876,8,,,,7.043745101180828,,,0.0901306894997746,15606,CHN,,,767,0
Guangxi,China,2022-08-28 08:33:03,23.8298,108.7881,2253,2,,,,4.494601331455323,,,0.0887705281846427,15607,CHN,,,70,0
Guizhou,China,2022-08-28 08:33:03,26.8154,106.8748,194,2,,,,0.5030840087020049,,,1.0309278350515465,15608,CHN,,,8,0
Hainan,China,2022-08-28 08:33:03,19.1959,109.7453,8660,6,,,,85.9021992550117,,,0.069284064665127,15609,CHN,,,8334,0
Hebei,China,2022-08-28 08:33:03,37.8957,114.9042,2010,7,,,,2.6940003606743765,,,0.3482587064676617,15610,CHN,,,3,0
Heilongjiang,China,2022-08-28 08:33:03,47.862,127.7615,3036,13,,,,9.53215576672818,,,0.4281949934123847,15611,CHN,,,45,0
Henan,China,2022-08-28 08:33:03,33.882,113.614,3260,22,,,,3.280816155149353,,,0.6748466257668712,15612,CHN,,,36,0
Hong Kong,China,2022-08-28 08:33:03,22.3,114.2,1504264,9654,,,,20064.91140175228,,,0.6417756457643073,344,HKG,,,154904,152
Hubei,China,2022-08-28 08:33:03,30.9756,112.2707,68422,4512,,,,118.47440798162408,,,6.59437023179679,15613,CHN,,,14,0
Hunan,China,2022-08-28 08:33:03,27.6104,111.7088,1429,4,,,,2.150655316263421,,,0.2799160251924422,15614,CHN,,,19,0
Inner Mongolia,China,2022-08-28 08:33:03,44.0935,113.9448,2367,1,,,,9.8423416539999,,,0.042247570764681,15615,CHN,,,201,0
Jiangsu,China,2022-08-28 08:33:03,32.9711,119.455,2348,0,,,,2.7705663339658595,,,0.0,15616,CHN,,,29,0
Jiangxi,China,2022-08-28 08:33:03,27.614,115.7221,1473,1,,,,3.2596691623900567,,,0.0678886625933469,15617,CHN,,,35,0
Jilin,China,2022-08-28 08:33:03,43.6661,126.1923,40309,5,,,,167.44170435375432,,,0.0124041777270584,15618,CHN,,,16,0
Liaoning,China,2022-08-28 08:33:03,41.2956,122.6085,1793,2,,,,4.209769355588558,,,0.1115448968209704,15619,CHN,,,54,0
Macau,China,2022-08-28 08:33:03,22.1667,113.55,793,6,,,,122.12362668670748,,,0.7566204287515763,446,MAC,,,2,0
Ningxia,China,2022-08-28 08:33:03,37.2692,106.1655,122,0,,,,1.693820083541428,,,0.0,15620,CHN,,,0,0
Qinghai,China,2022-08-28 08:33:03,35.7452,95.9956,179,0,,,,3.021628955105515,,,0.0,15621,CHN,,,31,0
Shaanxi,China,2022-08-28 08:33:03,35.1917,108.8701,3648,3,,,,9.22866779399094,,,0.0822368421052631,15622,CHN,,,266,0
Shandong,China,2022-08-28 08:33:03,36.3427,118.1498,2923,7,,,,2.879024257606462,,,0.2394799863154293,15623,CHN,,,78,0
